Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;Pts/MP;xG;xGA;xGD;xGD/90;Attendance;Top Team Scorer;Goalkeeper;Anno;# Pl;Poss;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;Mis;Dis;Rec;Prog
3;Bayern Munich;de GER;1;34;26;4;4;100;32;68;82;2.41;89.5;37.9;51.6;1.52;57353;Robert Lewandowski - 34;Manuel Neuer;19-20;29;65.1;34;27785;1932;7312;13369;7326;1207;27779;480;741;64.8;514;309;20418;1578
72;Betis;es ESP;15;38;10;11;17;48;60;-12;41;1.08;51;54.8;-3.7;-0.1;35969;Loren Morón - 10;Joel Robles;19-20;27;56.7;38;23601;2497;7853;10399;5595;842;23593;445;713;62.4;548;355;15991;949
58;Bologna;it ITA;12;38;12;11;15;52;65;-13;47;1.24;56.9;54.8;2;0.05;15774;Musa Barrow - 9;?ukasz Skorupski;19-20;31;52.6;38;22632;2327;6601;10499;5747;793;22626;349;628;55.6;617;331;14408;1191
50;Bordeaux;fr FRA;12;28;9;10;9;40;34;6;37;1.32;30;36.9;-6.9;-0.25;2343;Jimmy Briand - 7;Benoît Costil;19-20;26;53.6;28;18167;1728;5741;9699;2903;376;18165;273;507;53.8;457;285;12148;727
88;Bournemouth;eng ENG;18;38;9;7;22;40;65;-25;34;0.89;44.8;62.3;-17.5;-0.46;7745;Callum Wilson - 8;Aaron Ramsdale;19-20;27;44.1;38;20778;2558;7479;8660;4848;709;20774;325;602;54;571;384;11897;876
94;Brescia;it ITA;19;38;6;7;25;35;79;-44;25;0.66;43.4;74.5;-31.2;-0.82;1005;Ernesto Torregrossa, Alfredo Donnarumma - 7;Jesse Joronen;19-20;32;40.6;38;18675;2538;6853;7786;4252;653;18671;275;450;61.1;557;316;10721;933
59;Brest;fr FRA;14;28;8;10;10;34;37;-3;34;1.21;30.7;45.5;-14.8;-0.53;13713;Irvin Cardona - 6;Gautier Larsonneur;19-20;24;49.8;28;17199;2050;5993;7865;3517;468;17194;209;364;57.4;464;283;10949;791
73;Brighton;eng ENG;15;38;9;14;15;39;54;-15;41;1.08;45.4;55;-9.5;-0.25;22369;Neal Maupay - 10;Mathew Ryan;19-20;25;52.2;38;24297;2736;8187;10704;5623;760;24295;335;584;57.4;626;399;15708;1204
41;Burnley;eng ENG;10;38;15;9;14;43;50;-7;54;1.42;47.4;49.8;-2.4;-0.06;15995;Chris Wood - 14;Nick Pope;19-20;22;41.9;38;18800;2240;5625;8974;4375;614;18796;246;454;54.2;509;291;9922;690
63;Cagliari;it ITA;14;38;11;12;15;52;56;-4;45;1.18;41.8;59;-17.2;-0.45;10728;João Pedro - 18;Robin Olsen;19-20;33;45.7;38;20943;2591;7168;9226;4777;579;20938;324;538;60.2;543;337;12963;929
